game,total_purchasers,purchased_and_played,conversion_rate
"Spec Ops The Line",78,56,71.79
Gunpoint,53,38,71.7
"BioShock Infinite",296,212,71.62
"1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby)",7,5,71.43
"60 Seconds!",7,5,71.43
"Airline Tycoon 2",7,5,71.43
"Alchemy Mysteries Prague Legends",7,5,71.43
"Blocks That Matter",21,15,71.43
Brawlhalla,91,65,71.43
Caster,28,20,71.43
"Dreamfall Chapters",7,5,71.43
"Earth 2160",14,10,71.43
"FINAL FANTASY XIII-2",14,10,71.43
"Geometry Wars Retro Evolved",14,10,71.43
"Hand Of Fate",7,5,71.43
"LIGHTNING RETURNS FINAL FANTASY XIII",7,5,71.43
"Long Live The Queen",21,15,71.43
"Magic Duels",98,70,71.43
"Majesty 2",7,5,71.43
"Majesty 2 Collection",7,5,71.43
"March of the Eagles",7,5,71.43
"Need for Speed SHIFT",14,10,71.43
NotGTAV,7,5,71.43
"Prince of Persia The Sands of Time",21,15,71.43
"Rock of Ages",28,20,71.43
"Sherlock Holmes Crimes and Punishments",7,5,71.43
"Star Trek D-A-C",7,5,71.43
"Steam Marines",7,5,71.43
"Sword of the Stars II Enhanced Edition",7,5,71.43
"The Beginner's Guide",7,5,71.43
"Thirty Flights of Loving",7,5,71.43
"WRC 4 FIA WORLD RALLY CHAMPIONSHIP",7,5,71.43
"Warlock 2 the Exiled",7,5,71.43
"Supreme Commander 2",73,52,71.23
"Shadow Warrior",45,32,71.11
"DiRT 3",69,49,71.01
"Mark of the Ninja",100,71,71.0
"Mount & Blade With Fire and Sword",62,44,70.97
"One Finger Death Punch",31,22,70.97
Portal,588,417,70.92
"Fable Anniversary",24,17,70.83
"Omerta - City of Gangsters",24,17,70.83
"Trine 2",185,131,70.81
"RPG Maker VX Ace",41,29,70.73
"Assassin's Creed",51,36,70.59
"E.Y.E Divine Cybermancy",34,24,70.59
"Need for Speed Undercover",17,12,70.59
"Shattered Horizon",17,12,70.59
"Yet Another Zombie Defense",34,24,70.59
"Atom Zombie Smasher ",27,19,70.37
"GRID 2",81,57,70.37
"BIT.TRIP Presents... Runner2 Future Legend of Rhythm Alien",37,26,70.27
"Tom Clancy's Splinter Cell Conviction",57,40,70.18
"12 Labours of Hercules",10,7,70.0
"Castlevania Lords of Shadow 2",10,7,70.0
"EVE Online",30,21,70.0
"FlatOut 2",20,14,70.0
"King Arthur - The Role-playing Wargame",20,14,70.0
"Sonic CD",10,7,70.0
"The Chronicles of Riddick Assault on Dark Athena",10,7,70.0
"Trials Fusion",10,7,70.0
"Ys Origin",10,7,70.0
Trine,103,72,69.9
"DOOM 3 BFG Edition",33,23,69.7
"Recettear An Item Shop's Tale",23,16,69.57
"PROTOTYPE 2",36,25,69.44
"Alice Madness Returns",39,27,69.23
"Anno 1404",13,9,69.23
"DUNGEONS - Steam Special Edition",13,9,69.23
"Devil May Cry 4",26,18,69.23
"Retro City Rampage DX",13,9,69.23
Rocksmith,13,9,69.23
"Shift 2 Unleashed",13,9,69.23
"Sid Meier's Starships",13,9,69.23
"Sparkle 2 Evo",13,9,69.23
"Wanderlust Rebirth",13,9,69.23
"Warmachine Tactics",13,9,69.23
"Wild Warfare",13,9,69.23
"Orcs Must Die! 2",136,94,69.12
"Game of Thrones - A Telltale Games Series",29,20,68.97
"Mars War Logs",16,11,68.75
"Post Apocalyptic Mayhem",16,11,68.75
Thief,99,68,68.69
"Call of Duty Black Ops II - Zombies",168,115,68.45
"Call of Duty Advanced Warfare",76,52,68.42
"Dungeons of Dredmor",38,26,68.42
"Halo Spartan Assault",19,13,68.42
"Pixel Piracy",38,26,68.42
"Talisman Digital Edition",19,13,68.42
Unturned,1563,1069,68.39
"Scribblenauts Unlimited",98,67,68.37
"Warhammer 40,000 Dawn of War II  Retribution",101,69,68.32
"Mount Your Friends",22,15,68.18
"Orcs Must Die!",91,62,68.13
"Fable - The Lost Chapters",53,36,67.92
McPixel,28,19,67.86
"Medieval II Total War",112,76,67.86
"Alan Wake",130,88,67.69
"Kingdom Wars",34,23,67.65
"Worms Revolution",71,48,67.61
"POSTAL 2",74,50,67.57
"Space Pirates and Zombies",46,31,67.39
"S.T.A.L.K.E.R. Shadow of Chernobyl",55,37,67.27
"Call of Duty Black Ops II",168,113,67.26
"Assassin's Creed Brotherhood",58,39,67.24
"Fishing Planet",73,49,67.12
"12 Labours of Hercules II The Cretan Bull",12,8,66.67
"16bit Trader",3,2,66.67
"A Walk in the Dark",3,2,66.67
Aftermath,81,54,66.67
"Agarest Generations of War",12,8,66.67
"Akane the Kunoichi",3,2,66.67
"Anno 1404 Venice",6,4,66.67
"Astro Lords",3,2,66.67
Auditorium,3,2,66.67
"BIT.TRIP RUNNER",60,40,66.67
"Before the Echo",15,10,66.67
"Blob From Space",3,2,66.67
"Blood Knights",3,2,66.67
"BloodRayne 2",3,2,66.67
Botanicula,24,16,66.67
"Broken Sword 5 - the Serpent's Curse",9,6,66.67
"Cards and Castles",3,2,66.67
"Cargo! - The quest for gravity",3,2,66.67
"Cat Goes Fishing",3,2,66.67
"Cities XL - Limited Edition",3,2,66.67
"Cities XXL",6,4,66.67
ComaMortuary,3,2,66.67
"Company of Heroes Europe at War",3,2,66.67
"Crazy Plant Shop",3,2,66.67
"Cricket Revolution",3,2,66.67
Cubemen,12,8,66.67
"Dead Horde",6,4,66.67
"Deadlings - Rotten Edition",3,2,66.67
"Delve Deeper",3,2,66.67
"Dragon Quest Heroes",3,2,66.67
"Emergency 2014",3,2,66.67
"Euro Fishing",3,2,66.67
"FINAL FANTASY TYPE-0 HD",6,4,66.67
FOTONICA,3,2,66.67
"Fairy Bloom Freesia",9,6,66.67
FarSky,3,2,66.67
"Fester Mudd Curse of the Gold - Episode 1",3,2,66.67
"Final Exam",6,4,66.67
"Firefighters 2014",3,2,66.67
"Five Nights at Freddy's 3",12,8,66.67
"Flight of the Icarus",3,2,66.67
Fortix,6,4,66.67
"Freedom Fall",3,2,66.67
"Frozen Synapse Prime",6,4,66.67
"GoD Factory Wingmen",3,2,66.67
"GridRunner Revolution",3,2,66.67
"Guild Wars Game of the Year",3,2,66.67
"Gurumin A Monstrous Adventure",3,2,66.67
Hacknet,6,4,66.67
"Hamilton's Great Adventure",3,2,66.67
"Hard Truck Apocalypse Rise Of Clans / Ex Machina Meridian 113",3,2,66.67
"Heroes of Hellas 3 Athens",3,2,66.67
Horizon,6,4,66.67
Hylics,3,2,66.67
"IL-2 Sturmovik Battle of Stalingrad",3,2,66.67
"If My Heart Had Wings",3,2,66.67
"Infested Planet",9,6,66.67
"Krosmaster Arena",6,4,66.67
"Legend of Dungeon",9,6,66.67
"Light of Altair",3,2,66.67
"London 2012 The Official Video Game of the Olympic Games",3,2,66.67
Lucid,3,2,66.67
"M.U.D. TV",3,2,66.67
MURI,3,2,66.67
"MXGP - The Official Motocross Videogame",3,2,66.67
"MacGuffin's Curse",3,2,66.67
"Mad Games Tycoon",3,2,66.67
Maia,3,2,66.67
"Marble Mayhem Fragile Ball",3,2,66.67
"Max The Curse of Brotherhood",3,2,66.67
"Merchants of Kaidan",3,2,66.67
"Mishap An Accidental Haunting",3,2,66.67
Monaco,96,64,66.67
"Myst Masterpiece Edition",6,4,66.67
"Myst V",3,2,66.67
"NBA 2K12",3,2,66.67
"Nancy Drew Ransom of the Seven Ships ",3,2,66.67
"Nimble Quest",3,2,66.67
OTTTD,3,2,66.67
"Out of the Park Baseball 15",6,4,66.67
"Over 9000 Zombies!",3,2,66.67
"Paint the Town Red",3,2,66.67
"Paranormal State Poison Spring Collector's Edition",3,2,66.67
"Party of Sin",6,4,66.67
"Pat & Mat",3,2,66.67
"Port Royale 2",3,2,66.67
"Project Explore",3,2,66.67
"Rag Doll Kung Fu",6,4,66.67
"Red Crucible Firestorm",69,46,66.67
Republique,3,2,66.67
"Restaurant Empire II",3,2,66.67
"Robin Hood",3,2,66.67
"RollerCoaster Tycoon 2 Triple Thrill Pack",12,8,66.67
"SONIC THE HEDGEHOG 4 Episode II",6,4,66.67
"STAR WARS X-Wing Alliance",3,2,66.67
STARWHAL,3,2,66.67
"Sang-Froid - Tales of Werewolves",15,10,66.67
"Shadow Puppeteer",3,2,66.67
"Shadows of War",3,2,66.67
"ShootMania Storm",3,2,66.67
"Silent Hunter Wolves of the Pacific",3,2,66.67
Singularity,12,8,66.67
"Skyward Collapse",3,2,66.67
"Sometimes Success Requires Sacrifice",3,2,66.67
"Space Farmers",6,4,66.67
"Star Trek",6,4,66.67
"Styx Master of Shadows",21,14,66.67
"Super Motherload",3,2,66.67
"Swarm Arena",3,2,66.67
"The Book of Unwritten Tales 2",3,2,66.67
"The Collider",3,2,66.67
"The Marvellous Miss Take",3,2,66.67
"The Polynomial",12,8,66.67
"The Raven - Legacy of a Master Thief",6,4,66.67
"The Witcher Adventure Game",3,2,66.67
"Tiny Troopers",3,2,66.67
"Ubersoldier II",3,2,66.67
Ultratron,6,4,66.67
Unmechanical,3,2,66.67
inMomentum,3,2,66.67
Counter-Strike,856,568,66.36
"The Witcher 2 Assassins of Kings Enhanced Edition",257,170,66.15
"Wargame European Escalation",56,37,66.07
Trove,384,253,65.89
Antichamber,76,50,65.79
"Bully Scholarship Edition",35,23,65.71
Awesomenauts,104,68,65.38
"The Elder Scrolls IV Oblivion ",101,66,65.35
"Resident Evil 5 / Biohazard 5",49,32,65.31
"ORION Prelude",123,80,65.04
"Frozen Synapse",40,26,65.0
Grimm,20,13,65.0
"Peggle Deluxe",20,13,65.0
"Batman Arkham Origins",151,98,64.9
"Quantum Conundrum",17,11,64.71
"Takedown Red Sabre",17,11,64.71
WAKFU,51,33,64.71
"Star Wars Knights of the Old Republic",127,82,64.57
"Darksiders II",104,67,64.42
"Burnout Paradise The Ultimate Box",129,83,64.34
"Tower Wars",28,18,64.29
Transistor,53,34,64.15
"Amnesia A Machine for Pigs",39,25,64.1
"World of Goo",64,41,64.06
"Metro Conflict",25,16,64.0
"Sir, You Are Being Hunted",25,16,64.0
"Solar 2",25,16,64.0
"The Walking Dead Season Two",75,48,64.0
"Block N Load",72,46,63.89
BioShock,224,143,63.84
"Analogue A Hate Story",11,7,63.64
"Apotheon Arena",11,7,63.64
Blockstorm,11,7,63.64
"Crusaders of the Lost Idols",11,7,63.64
"Gems of War",11,7,63.64
"Ghost Master",11,7,63.64
"Golden Rush",11,7,63.64
MapleStory,33,21,63.64
"Patrician IV Steam Special Edition",11,7,63.64
"Peggle Nights",11,7,63.64
"Valdis Story Abyssal City",11,7,63.64
"World of Soccer online",22,14,63.64
"AdVenture Capitalist",222,141,63.51
"Poker Night at the Inventory",52,33,63.46
"Everlasting Summer",60,38,63.33
"Loadout Campaign Beta",30,19,63.33
"Viscera Cleanup Detail Santa's Rampage",30,19,63.33
"Red Faction Guerrilla Steam Edition",68,43,63.24
Eufloria,19,12,63.16
LIMBO,133,84,63.16
Mountain,19,12,63.16
"Soccer Manager 2015",19,12,63.16
"SteamWorld Dig",38,24,63.16
"Grand Theft Auto San Andreas",179,113,63.13
"Mirror's Edge",189,119,62.96
"Relic Hunters Zero",35,22,62.86
"99 Levels To Hell",8,5,62.5
"AaAaAA!!! - A Reckless Disregard for Gravity",8,5,62.5
"Alien Rage - Unlimited",8,5,62.5
"Aliens versus Predator Classic 2000",16,10,62.5
"Another World",8,5,62.5
"Brothers - A Tale of Two Sons",64,40,62.5
"Bunch Of Heroes",16,10,62.5
"DOOM 3",32,20,62.5
Distance,8,5,62.5
"Go! Go! Nippon! ~My First Trip to Japan~",8,5,62.5
GooCubelets,8,5,62.5
"LEGO Batman 3 Beyond Gotham",8,5,62.5
Legendary,16,10,62.5
"Little Racers STREET",8,5,62.5
"Pool Nation",16,10,62.5
"Remember Me",40,25,62.5
Sengoku,8,5,62.5
"The Wonderful End of the World",8,5,62.5
"They Bleed Pixels",16,10,62.5
"Toki Tori",32,20,62.5
"Warhammer 40,000 Dawn of War  Soulstorm",40,25,62.5
Shatter,29,18,62.07
"Dear Esther",50,31,62.0
"Dungeon Siege III",50,31,62.0
"Endless Sky",21,13,61.9
"Tom Clancy's Rainbow Six Vegas 2",21,13,61.9
"Serious Sam 3 BFE",118,73,61.86
"Boring Man - Online Tactical Stickman Combat",34,21,61.76
"Two Worlds II",47,29,61.7
"Call of Duty 2",13,8,61.54
"EasyAntiCheat eSports",13,8,61.54
"Guild Wars",13,8,61.54
"Portal 2 - The Final Hours",13,8,61.54
"Star Wars Empire at War Gold",65,40,61.54
"The Evil Within",26,16,61.54
"Zeno Clash",26,16,61.54
"the static speaks my name",13,8,61.54
"The Darkness II",57,35,61.4
"The Incredible Adventures of Van Helsing",62,38,61.29
"Cook, Serve, Delicious!",18,11,61.11
"Spooky's House of Jump Scares",54,33,61.11
"The Ball",18,11,61.11
"The Incredible Adventures of Van Helsing II",23,14,60.87
"Borderlands 2 RU",33,20,60.61
Prototype,33,20,60.61
"Dust An Elysian Tail",76,46,60.53
"Echo of Soul",38,23,60.53
"SEGA Genesis & Mega Drive Classics",38,23,60.53
"Far Cry 3 Blood Dragon",81,49,60.49
"Batman Arkham Asylum GOTY Edition",182,110,60.44
"Dirty Bomb",323,195,60.37
"Legend of Grimrock",58,35,60.34
"Metro 2033 Redux",63,38,60.32
"A Valley Without Wind",10,6,60.0
"Agarest Zero",5,3,60.0
"Blitzkrieg Anthology",5,3,60.0
"Burn Zombie Burn",5,3,60.0
"Bus Driver",10,6,60.0
"Carpe Diem",5,3,60.0
"Combat Wings Battle of Britain",5,3,60.0
"Deadfall Adventures",5,3,60.0
"Democracy 2",5,3,60.0
"Dracula's Legacy",5,3,60.0
"Dungeon Hearts",5,3,60.0
"Eador. Masters of the Broken World",10,6,60.0
"Earth Defense Force Insect Armageddon",5,3,60.0
"Edge of Space",10,6,60.0
"Ether One",5,3,60.0
"Europa Universalis Rome - Gold Edition",5,3,60.0
"FINAL FANTASY III",10,6,60.0
"Freedom Force",10,6,60.0
"Galaxy on Fire 2 Full HD",20,12,60.0
"Gang Beasts",15,9,60.0
"Gas Guzzlers Extreme",10,6,60.0
Gomo,5,3,60.0
Gravilon,10,6,60.0
"Guns'N'Zombies",5,3,60.0
"Hearts of Iron II Complete",5,3,60.0
"Hydrophobia Prophecy",20,12,60.0
"Iron Brigade",10,6,60.0
"Jigoku Kisetsukan Sense of the Seasons",10,6,60.0
Kairo,5,3,60.0
"Kingdom Rush",15,9,60.0
LISA,10,6,60.0
"Labyronia RPG",5,3,60.0
"Lunar Flight",10,6,60.0
"MLB Front Office Manager",5,3,60.0
"Marlow Briggs",5,3,60.0
"NASCAR '14",5,3,60.0
"Neverending Nightmares",5,3,60.0
"No Time to Explain",5,3,60.0
"Not The Robots",5,3,60.0
"Oddworld Stranger's Wrath HD",15,9,60.0
"Pro Cycling Manager 2015",5,3,60.0
QuantZ,5,3,60.0
"Ravaged Zombie Apocalypse",10,6,60.0
"Resident Evil Operation Raccoon City",5,3,60.0
SNOW,5,3,60.0
"Seduce Me the Otome",5,3,60.0
"Sherlock Holmes Nemesis",5,3,60.0
"Soccer Manager 2016",20,12,60.0
"Speedball 2 Tournament",10,6,60.0
"Squishy the Suicidal Pig",20,12,60.0
"Steel Ocean",20,12,60.0
"Super Amazing Wagon Adventure",5,3,60.0
"Survivor Squad",5,3,60.0
"THE KING OF FIGHTERS XIII STEAM EDITION",35,21,60.0
"Tank Universal",5,3,60.0
"The Adventures of Mr. Bobley",5,3,60.0
"Tiny Bridge Ratventure",5,3,60.0
"Tropico 3 Absolute Power",20,12,60.0
Unepic,30,18,60.0
"Wasteland Angel",5,3,60.0
"Year Walk",5,3,60.0
"Ys I",5,3,60.0
"Zack Zero",5,3,60.0
FEZ,87,52,59.77
WARMODE,82,49,59.76
"Anomaly Warzone Earth",62,37,59.68
Osmos,37,22,59.46
"Dead Bits",32,19,59.38
UberStrike,59,35,59.32
"Dino D-Day",108,64,59.26
"Rising Storm/Red Orchestra 2 Multiplayer",201,119,59.2
"Super Hexagon",49,29,59.18
Darksiders,154,91,59.09
"Woodle Tree Adventures",22,13,59.09
Robocraft,689,407,59.07
"Crysis 2 Maximum Edition",151,89,58.94
"Card Hunter",34,20,58.82
"Chaos on Deponia",17,10,58.82
"Revolution Ace",17,10,58.82
VVVVVV,63,37,58.73
"The Last Remnant",46,27,58.7
"Costume Quest",29,17,58.62
"Don't Starve Together Beta",256,150,58.59
"Clicker Heroes",246,144,58.54
"Rome Total War",106,62,58.49
"Age of Conan Unchained - EU version",12,7,58.33
Blockland,12,7,58.33
"Bound By Flame",12,7,58.33
Chip,12,7,58.33
"Front Mission Evolved",12,7,58.33
"King Arthur Collection",12,7,58.33
"Metal Reaper Online",12,7,58.33
"Might & Magic Clash of Heroes",12,7,58.33
"Moonbase Alpha",60,35,58.33
"Toy Soldiers",12,7,58.33
"Urban Trial Freestyle",12,7,58.33
"Valiant Hearts The Great War / Soldats Inconnus  Mmoires de la Grande Guerre",24,14,58.33
"resident evil 4 / biohazard 4",24,14,58.33
"The Elder Scrolls III Morrowind",67,39,58.21
"Resident Evil Revelations / Biohazard Revelations",31,18,58.06
"Cave Story+",50,29,58.0
"Mount & Blade",50,29,58.0
"ACE COMBAT ASSAULT HORIZON Enhanced Edition",19,11,57.89
"Ghostbusters The Video Game",19,11,57.89
"LEGO The Hobbit",19,11,57.89
"Return to Castle Wolfenstein",19,11,57.89
"Unreal Tournament 2004",19,11,57.89
"Infinite Crisis",64,37,57.81
"Assassin's Creed Revelations",52,30,57.69
"Stronghold 2",26,15,57.69
"The Ultimate DOOM",26,15,57.69
Machinarium,59,34,57.63
"Sanctum 2",92,53,57.61
"Strike Suit Zero",33,19,57.58
"BLOCKADE 3D",209,120,57.42
"The Mighty Quest For Epic Loot",143,82,57.34
AirMech,75,43,57.33
"Warhammer 40,000 Dawn of War II - Chaos Rising",96,55,57.29
Borealis,7,4,57.14
"Breach & Clear",7,4,57.14
"Brilliant Bob",7,4,57.14
"Cossacks II Battle for Europe",7,4,57.14
"Darkest Hour A Hearts of Iron Game",7,4,57.14
Despair,7,4,57.14
"Expeditions Conquistador",7,4,57.14
FlatOut,14,8,57.14
GRID,49,28,57.14
"Galcon Legends",7,4,57.14
"Gone Home",42,24,57.14
"Gumboy Crazy Features",7,4,57.14
"How To Survive Third Person",7,4,57.14
"Insaniquarium! Deluxe",7,4,57.14
"Jagged Alliance 2 - Wildfire ",7,4,57.14
"Jagged Alliance Online - Steam Edition",7,4,57.14
"King Arthur's Gold",21,12,57.14
"Lost Lands A Hidden Object Adventure",7,4,57.14
Lume,7,4,57.14
"Next Car Game Sneak Peek 2.0",28,16,57.14
Outland,14,8,57.14
"Pixel Puzzles Japan",14,8,57.14
"Rush Bros",14,8,57.14
"Scourge Outbreak",7,4,57.14
"Small World 2",7,4,57.14
SolForge,21,12,57.14
"Star Wolves 3 Civil War",7,4,57.14
"Strike Suit Infinity",14,8,57.14
"The Fall",7,4,57.14
"World of Guns Gun Disassembly",121,69,57.02
"Far Cry 2",93,53,56.99
sZone-Online,102,58,56.86
"Little Inferno",44,25,56.82
"Cry of Fear",162,92,56.79
"Lost Planet Extreme Condition",30,17,56.67
"The Culling Of The Cows",30,17,56.67
"Grim Fandango Remastered",23,13,56.52
"Organ Trail Director's Cut",23,13,56.52
"Dead Island Riptide",94,53,56.38
"Dragon Age Origins",55,31,56.36
"Guacamelee! Gold Edition",55,31,56.36
"Path of Exile",339,191,56.34
"Memories of a Vagabond",16,9,56.25
"Tap Tap Infinity",16,9,56.25
"X3 Terran Conflict",32,18,56.25
"Realm of the Mad God",171,96,56.14
"Metro 2033",312,175,56.09
"Tom Clancy's Ghost Recon Phantoms - EU",245,137,55.92
Deadlight,68,38,55.88
Forge,34,19,55.88
"Cubic Castles",52,29,55.77
"Half-Life 2",639,356,55.71
"Deus Ex Human Revolution - Director's Cut",97,54,55.67
"Arx Fatalis",9,5,55.56
FUEL,9,5,55.56
"Fight The Dragon",9,5,55.56
"Gladiators Online Death Before Dishonor",9,5,55.56
"Men of War Assault Squad",36,20,55.56
"Mercenary Kings",18,10,55.56
"Sam & Max 101 Culture Shock",9,5,55.56
"Sam & Max 102 Situation Comedy",9,5,55.56
Screencheat,9,5,55.56
"Snuggle Truck",9,5,55.56
"The Bridge",36,20,55.56
"ibb & obb",9,5,55.56
SMITE,145,80,55.17
8BitMMO,49,27,55.1
"Anna - Extended Edition",20,11,55.0
"Fallen Enchantress Legendary Heroes",20,11,55.0
"Time Clickers",51,28,54.9
"Spore Galactic Adventures",31,17,54.84
"Arma 2",269,147,54.65
"Divinity Dragon Commander",22,12,54.55
"Draw a Stickman EPIC",11,6,54.55
"FlatOut Ultimate Carnage",11,6,54.55
"Indiana Jones and the Fate of Atlantis",11,6,54.55
"Indiana Jones and the Last Crusade",11,6,54.55
"Kings Bounty Legions",11,6,54.55
"Knights of Pen and Paper +1",22,12,54.55
"LEGO Batman The Videogame",11,6,54.55
"MURDERED SOUL SUSPECT",33,18,54.55
"Never Alone (Kisima Ingitchuna)",11,6,54.55
"Shadowrun Hong Kong",11,6,54.55
"Trine 3 The Artifacts of Power",11,6,54.55
Warside,11,6,54.55
"Worms Clan Wars",22,12,54.55
Deponia,48,26,54.17
"Hacker Evolution",24,13,54.17
Sanctum,72,39,54.17
"Star Wars The Force Unleashed Ultimate Sith Edition",61,33,54.1
Toribash,154,83,53.9
"Lego Star Wars Saga",13,7,53.85
"Might & Magic Heroes Online",13,7,53.85
"PlanetSide 2",390,210,53.85
"Rustbucket Rumble",13,7,53.85
"The Longest Journey",13,7,53.85
"The Misadventures of P.B. Winterbottom",13,7,53.85
"The Typing of The Dead Overkill",13,7,53.85
"TowerFall Ascension",13,7,53.85
"Child of Light",41,22,53.66
"Sid Meier's Pirates!",41,22,53.66
"Revenge of the Titans",28,15,53.57
"Crayon Physics Deluxe",43,23,53.49
"Frozen Hearth",15,8,53.33
"System Shock 2",45,24,53.33
Cogs,47,25,53.19
"Codename CURE",64,34,53.13
"Penumbra Overture",32,17,53.13
"To the Moon",64,34,53.13
"Baldur's Gate II Enhanced Edition",17,9,52.94
CroNix,17,9,52.94
"Scania Truck Driving Simulator",17,9,52.94
"The Hat Man Shadow Ward",17,9,52.94
TERA,223,118,52.91
"Zombies Monsters Robots",53,28,52.83
"Serious Sam HD The First Encounter",55,29,52.73
"APB Reloaded",262,138,52.67
ArcheAge,76,40,52.63
"Battlestations Pacific",19,10,52.63
"Sniper Elite",19,10,52.63
Uncrowded,19,10,52.63
"Waking Mars",19,10,52.63
"X3 Albion Prelude",19,10,52.63
"The Lord of the Rings War in the North",97,51,52.58
"No More Room in Hell",438,230,52.51
Vessel,21,11,52.38
"Joe Danger 2 The Movie",25,13,52.0
Polarity,25,13,52.0
Braid,77,40,51.95
"Thomas Was Alone",52,27,51.92
Eldevin,27,14,51.85
Psychonauts,81,42,51.85
"Hard Reset",29,15,51.72
Teeworlds,35,18,51.43
"Batman Arkham City GOTY",212,109,51.42
"War Thunder",590,303,51.36
"Gratuitous Space Battles",37,19,51.35
"Fistful of Frags",154,79,51.3
"Stronghold Crusader HD",45,23,51.11
"Warhammer 40,000 Dawn of War  Dark Crusade",45,23,51.11
"Heroes & Generals",658,335,50.91
"Mass Effect 2",110,56,50.91
Warface,329,167,50.76
"S.K.I.L.L. - Special Force 2",71,36,50.7
"The Ship",85,43,50.59
"Star Trek Online",99,50,50.51
Warframe,847,424,50.06
"1000 Amps",2,1,50.0
"12 Labours of Hercules III Girl Power",6,3,50.0
"18 Wheels of Steel American Long Haul",2,1,50.0
404Sight,14,7,50.0
9.03m,2,1,50.0
"A Golden Wake",2,1,50.0
AXYOS,2,1,50.0
"Abyss The Wraiths of Eden",2,1,50.0
"Adventurer Manager",2,1,50.0
"Age of Conan Rise of the Godslayer",2,1,50.0
"Aggression Europe Under Fire",2,1,50.0
"Air Conflicts - Secret Wars",4,2,50.0
"All Zombies Must Die!",6,3,50.0
"Alone in the Dark",2,1,50.0
"Alpha Kimori Episode One ",4,2,50.0
"Always Sometimes Monsters",24,12,50.0
"Amnesia The Dark Descent",226,113,50.0
Ampu-Tea,6,3,50.0
"Angels of Fasaria Version 2.0",2,1,50.0
Antisquad,2,1,50.0
"Aperture Tag The Paint Gun Testing Initiative",4,2,50.0
Arcadia,2,1,50.0
ArchonClassic,2,1,50.0
"Arms Dealer",2,1,50.0
"Assassin's Creed Rogue",2,1,50.0
Astebreed,4,2,50.0
"BIT.TRIP FATE",4,2,50.0
"Battle Group 2",2,1,50.0
"Battle Islands",22,11,50.0
"Battle vs Chess",2,1,50.0
Bermuda,4,2,50.0
"Beyond Eyes",2,1,50.0
"Beyond Space",2,1,50.0
"Black Viper Sophia's Fate",2,1,50.0
"Blaster Shooter GunGuy!",6,3,50.0
"BlazBlue Calamity Trigger",4,2,50.0
BlazeRush,2,1,50.0
"Blood Bowl Dark Elves Edition",2,1,50.0
"Blood of the Werewolf",2,1,50.0
BloodRayne,2,1,50.0
"BloodRayne Betrayal",4,2,50.0
"Bridge It (plus)",4,2,50.0
"Bus-Simulator 2012",2,1,50.0
"Call of Duty Black Ops - Multiplayer OSX",4,2,50.0
"Call of Duty United Offensive",8,4,50.0
"Call of Tomsk-7",2,1,50.0
"Carmageddon 2 Carpocalypse Now",4,2,50.0
Castle,2,1,50.0
"Castlevania Lords of Shadow  Mirror of Fate HD",4,2,50.0
Chains,12,6,50.0
"Children of the Nile",2,1,50.0
"Children of the Nile Alexandria",2,1,50.0
"Chroma Squad",4,2,50.0
Chrome,2,1,50.0
"Chrome Specforce",2,1,50.0
Circuits,2,1,50.0
"Cities in Motion 2",38,19,50.0
"City Life 2008",2,1,50.0
"City of Heroes",2,1,50.0
Clickr,2,1,50.0
"Clickteam Fusion 2.5",2,1,50.0
"Clown House (Palyao Evi)",14,7,50.0
Clutch,2,1,50.0
"Condemned Criminal Origins",2,1,50.0
"Controller Companion",2,1,50.0
"Corporate Lifestyle Simulator",2,1,50.0
"Cosmic DJ",2,1,50.0
"Cossacks Back to War",8,4,50.0
"Cossacks II Napoleonic Wars",10,5,50.0
Crimsonland,4,2,50.0
"Crossfire Europe",8,4,50.0
"Crouching Pony Hidden Dragon",2,1,50.0
Crowntakers,2,1,50.0
"Crusader Kings Complete",4,2,50.0
Cryostasis,6,3,50.0
"Curse The Eye of Isis",2,1,50.0
"DUNGEONS - The Dark Lord (Steam Special Edition)",10,5,50.0
Damnation,2,1,50.0
"Dark Fall Lost Souls",2,1,50.0
"Dark Void Zero",2,1,50.0
"Darkwind War on Wheels",10,5,50.0
"Deadly 30",6,3,50.0
DeathSpank,8,4,50.0
"Defend Your Life",4,2,50.0
"Defy Gravity",52,26,50.0
"Delta Force Black Hawk Down",2,1,50.0
"Delta Force Black Hawk Down - Team Sabre",2,1,50.0
"Descent Underground",2,1,50.0
"Detective Grimoire",2,1,50.0
Dex,2,1,50.0
"Dinosaur Hunt Africa Contract",2,1,50.0
"Disciples II Gallean's Return",10,5,50.0
"Disciples III Reincarnation",8,4,50.0
"Distant Star Revenant Fleet",2,1,50.0
"Dollar Dash",2,1,50.0
Downwell,4,2,50.0
Drakensang,4,2,50.0
Dream,4,2,50.0
"Dreaming Sarah",2,1,50.0
"Droid Assault",4,2,50.0
"Dungeons The Eye of Draconus",2,1,50.0
"East India Company",2,1,50.0
"Edna & Harvey The Breakout",8,4,50.0
Element4l,6,3,50.0
"Elite Dangerous Horizons",2,1,50.0
"Empire TV Tycoon",2,1,50.0
"Enemy Territory Quake Wars",2,1,50.0
"Eryi's Action",2,1,50.0
"Eschalon Book 2",2,1,50.0
"FRACT OSC",2,1,50.0
"Faces of War",4,2,50.0
"Farming Simulator 2013 - Modding Tutorials",4,2,50.0
"Farming World",2,1,50.0
